Title,Company,Location,Skills,Links
Python Developer - Team Leader,Softxpert Incorporation  -,"Alexandria, Egypt ",Full TimeHybridManager · 6+ Yrs of Exp · IT/Software Development · Angular · Computer Science · Development · Git · Django · Information Technology (IT) · Python · Software Development · Web Development,https://wuzzuf.net/jobs/p/aiprvip9fesg-python-developer-team-leader-softxpert-incorporation-alexandria-egypt
Senior Python Developer (Minya),OdooTec -,"Minya, Egypt ",Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Software Engineering · Programming · Computer Science,https://wuzzuf.net/jobs/p/ndgp8pzpvzyg-senior-python-developer-minya-odootec-minya-egypt
Python Developer,Boca Pro  -,"Maadi, Cairo, Egypt ",Full TimeHybridExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · AWS · Computer Science · Django · Engineering · Flask · front-end · HTML5 · Information Technology (IT),https://wuzzuf.net/jobs/p/tlwvmv5vjrvq-python-developer-boca-pro-cairo-egypt
Data Entry (With Python Automation Experience),Confidential -,"Madina, Saudi Arabia ",Full TimeRemoteEntry Level · 1 - 2 Yrs of Exp · Administration · Analyst/Research · Microsoft Office · Python Scripting · Python · Data Entry · Administration · Customer Service · Data · entry,https://wuzzuf.net/jobs/p/bouqsly4isqd-data-entry-with-python-automation-experience-madina-saudi-arabia
Backend Engineer (Python) - EdTech Startup,Darsel -,"Cairo, Egypt ",Full TimeRemoteExperienced · 5+ Yrs of Exp · IT/Software Development · Python · backend · APIs · Backend Engineering · Software Engineering · Software Development · Amazon Web Services · Google Cloud Platform · Computer Science,https://wuzzuf.net/jobs/p/ivmknt2i3nip-backend-engineer-python---edtech-startup-darsel-cairo-egypt
Senior Data Engineer,Omnix International LLC -,"Cairo, Egypt ",Full TimeRemoteExperienced · 5 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Azure Datafactory · Azure Data Factory · Azure Synapses · Azure pureview · Computer Science · Data · Data Management · Engineering,https://wuzzuf.net/jobs/p/s0cnp9wzswjk-senior-data-engineer-omnix-international-llc-cairo-egypt
Renewable Energy Engineer,Storlytics -- -,"Cairo, Egypt ",Full TimeOn-siteEntry Level · 0 - 10 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering - Other · English · AutoCAD · Electrical Engineering · Renewable Energy · Power · PVsyst · Python,https://wuzzuf.net/jobs/p/ctfjnmfv8tge-renewable-energy-engineer-storlytics-cairo-egypt
Senior Data Analyst,Xceed Contact Center -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · ETL · Data Analysis · Communication skills · Python · SQL · Business Intelligence · PowerBI · Pandas,https://wuzzuf.net/jobs/p/kbzexl37bjxb-senior-data-analyst-xceed-contact-center-cairo-egypt
AI Engineer - Travel Tech,Rahala -,"Mohandessin, Giza, Egypt ",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Computer Science · Data Science · Engineering · Information Technology (IT) · Machine Learning · Python,https://wuzzuf.net/jobs/p/3rtefauicveg-ai-engineer-travel-tech-rahala-giza-egypt
Software Engineer (AI & Data Analytics),AlZamel for consultation -,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Cloud · Software Engineering · Software Development · Java · Programming · AWS,https://wuzzuf.net/jobs/p/hllsrabdljox-software-engineer-ai-data-analytics-alzamel-for-consultation-cairo-egypt
Data Scientist,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Analysis · Mathematics · Data Analysis · Hadoop · Data Science · Information Technology (IT),https://wuzzuf.net/jobs/p/bu1ksr9tke5x-data-scientist-lumin-giza-egypt
Backend Developer (Java),Square Solutions -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · backend · Java · Software Development · Computer Science · Docker · Engineering · Information Technology (IT) · MySQL,https://wuzzuf.net/jobs/p/pnp8bp76irlt-backend-developer-java-square-solutions-cairo-egypt
Software Engineer,Shebak -,"Smart Village, Giza, Egypt ",Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · PostgreSQL · C++ · Meta-Classes · Git · Unix · Linux,https://wuzzuf.net/jobs/p/2d2x9ldoatv1-software-engineer-shebak-giza-egypt
Odoo Developer,Smart Technology Solutions -,"Damietta, Damietta, Egypt ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo ERP · Python · Communication · Troubleshooting · Odoo · Programming · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/c6bk8siscdmo-odoo-developer-smart-technology-solutions-damietta-egypt
Automation Engineer,Creative Motion -,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Automation · API · Cloud · Computer Science · Engineering · CRM · Information Technology (IT) · JavaScript · REST,https://wuzzuf.net/jobs/p/jl7wmsnff7pg-automation-engineer-creative-motion-cairo-egypt
